Date Played (EST),Iron Source,Enter Type,Gold Source,RTA,Nether,Bastion,Fortress,Nether Exit,Second Portal,Stronghold,End,IGT,Blaze Rods,Total Deaths,Blaze Killed,Enderman Kiled,Iron Golem Killed,seed,Bastion Type,End Fight Type,Real_Deaths,Frame Eyes,run_id,Recent Version?,Notes
4/22/2026 22:57:31,Full Shipwreck,Lava Pool,Bastion,00:20:54,00:04:37,00:06:55,00:12:46,00:15:02,00:17:40,00:18:04,00:18:27,00:20:26,8,1,23,0,0,-6.83921E+18,Stables,Full Bow,0,2,9630,FALSE,"Last Run of Charity Marathon for Razom for Ukraine, Spanish, nice full ship, bt for more food, didnt see flint in inv after tnting underwater, 4 garrots, went down cave for enter, double good gap stables, 26 obby before even starting ttmtg, used extra gold for picks to drill through wall towards fort, 1.0 ch, back 99 offset, +1 did no knockback and bailed, weird perch snap, raised $15,555 for charity, Last run before Ranked LAN"
4/22/2026 22:35:38,Full Shipwreck,Lava Pool,Bastion,00:19:33,00:02:44,00:03:22,00:09:26,00:11:07,00:13:59,00:15:41,00:16:22,00:19:01,9,0,12,0,0,5.01619E+18,Stables,Full Bow,0,1,9629,FALSE,"Traditional Chinese, gorgeous mountains all around spawn, instant lavapool, ripped super close map in land-based ocean ruins, miscrafted iron pressure plate so no shears, killed pigs for extra food, sub 3 enter, close ttg stables, major timeloss to 30 chunk spawner being fully diagonal, farmed hogs on the way, sub10fort 800 blocks out in nether, pog blaze rates, 0.5 ch, shallow 2nd ring, chicken jockey, big spike coz mineshaft, pearl almost hit overhang above void, flew on back 95, fountain got fireballed, stay during perch but still saved it"
4/22/2026 22:15:12,Full Shipwreck,Lava Pool,Bastion,00:17:58,00:05:15,00:08:03,00:11:35,00:13:21,00:15:09,00:15:31,00:16:35,00:17:21,7,0,16,0,0,-5.01703E+15,Stables,Zero Cycle,0,3,9628,FALSE,"B2B Ukrainian, trash shipwreck, bt at least fragged, made extra boat for no reason, dugdown for lava, assassin hoglin right on tail, scariest chasedown, gap route, 17 obby then bad gap chest clutched, 14 chunk fort, crimson tree on spawner, 1.3 full diag, surfaced on sh chunk, null spike, back 97 1/8 3+2"
4/22/2026 21:56:36,Village,Lava Pool,Bastion,00:25:05,00:04:14,00:05:44,00:14:00,00:16:24,00:19:08,00:21:21,00:22:07,00:24:46,8,1,11,0,0,7.8782E+18,Bridge,Half Bow,0,2,9627,FALSE,"Ukrainian, first world lag on ocean spawn, some food and map in ship, rare bt under grass, desert village for extra food and scouting enter options, giant almost vertical cave drop went to lava, wall in the way of brijj, piface tnt, dealt with hoglin in bad spot for cs, pig traffic jam, didnt want to trade backups for 5 obby, fort going towards spawn, got a pearl hang off, mined well over 200 blocks to reach fort, home portal educated going back in fort direction, boat burned, no wood in inv, multiple attempts to get sprint crawl with iron trapdoor and button, portalled out very early with pick on verge of breaking, sh 700 blocks away, fort blind prolly sub 200 blocks, couldnt push t97 on cage spawn with bad pearl, crazy low perch snap"
4/22/2026 21:29:02,Structureless,Lava Pool,Bastion,01:02:03,00:13:01,00:14:06,00:20:48,00:23:36,00:26:13,00:28:51,00:30:16,00:32:53,8,0,13,0,0,-7.9018E+18,Housing/Treasure,Full Bow,0,3,9626,TRUE,"26.1.2 for raising $15k, Pirate language, rare apple drop, sent ocean but super mid, nothing good in singular ruins house, dipped to dive mine for iron, killed few pigs before going down, forgot to collect wood, mob nation cave, 8 diamonds and some gold ore, 2 wide hidden lavapool, long enf to make portal, 11 min enter quite into sh ring, close hauss, juked past top brute to loot chests, td, mending upgrade for pickaxe, pigs went crazy at the very end on pearl trades brining total to 21 from ~21 gb (9.6%), spawner in 19, feels weird to pearl around nether, got treasured, genius forcing new quadrant to hit fort, Dinner break on blind, 0.7 ch, grabbed glowstone, caved from y 81 portal under ocean, needed library for wood, back 95, anchor did no damage, pearl clutch after launched, spam bowed to almost no health then got kill with pickaxe"
4/22/2026 20:22:16,Full Shipwreck,Magma Ravine,Bastion,00:28:16,00:07:22,00:09:17,00:15:47,00:19:14,,00:24:58,00:26:02,00:27:20,11,3,19,0,0,-2.88708E+18,Bridge,Ground Zero,0,1,9625,FALSE,"Nederlands language, Instant ship with some carrots and small dot map, banger bt, gb from rp, hoping chestplate not thorns, dug into underground magma, awkwards spot but cooked up a portal, fell into lava reading chat, lived with garrots, piglin train on dk, bow is called ""boog"", only got 11 obby and like not many explosives, pigs fully trolled, 22 full diag to fort, bad terrain nav, spawner past gross lavafall, 11 rods from donation distractions, blinded at 2nd ring coords, not bad 0.7 ch, mostly ocean travel, chat lockedin on donos crossing stretch goal of $15k, Normal RV + one arm RV soon, ocean exposed starter, chestplate from ages ago did turn out to be thorns, luckily bastion went fine, weird overhang, played safe with ground"
4/22/2026 19:52:55,Structureless,Lava Pool,Bastion,00:24:18,00:05:54,00:08:19,00:12:44,00:14:47,00:17:24,00:20:24,00:21:45,00:22:29,8,2,11,0,0,3.76156E+18,Bridge,Zero Cycle,0,2,9624,FALSE,"Pirate Narrator for $14k incentive, Craftin is back, Furnace 100% snow village, chose to play structureless ow instead, dug for a while to get lava, distant brijj, dk, got backups for obby, 22 to fort, 0.6 blind, spider in nether, ran through bad part to find any semblance of terrain, still another 450 blocks same way, 2217 dist (<0.5 ch 1st ring), mega taiga sh, new iron pick from altar, got spike only very close to pr, back 99 2+2 TAS"
4/22/2026 19:27:46,Full Shipwreck,Lava Pool,Bastion,00:20:54,00:05:59,00:07:30,00:14:15,00:17:00,00:18:26,00:18:31,00:19:28,00:20:15,8,1,19,0,0,-7.5943E+18,Housing,Zero Cycle,0,1,9623,FALSE,"Everyone's fav LOL Cat , threw away thorns chestplate from ship, close bt, dia sword, tnt replaced leaves, dug for lavapool, bastion in 16, wet housing supporting terrain above like pillars, middown route, 17 obby with all chests cleared, all backup blocks and 2 extra gb in mongey chest were required to get 21, harsh terrain to reach fort, b2bbig donos put total over $14k, basically icepied on 0.5 ch, cranked back 97 1/8 for a clean zero"
4/22/2026 19:03:40,Structureless,Magma Ravine,Bastion,00:25:33,00:06:37,00:10:17,00:15:20,00:18:24,00:19:57,00:20:25,00:20:46,00:24:28,8,0,20,0,1,-7.41041E+18,Stables,Half Bow,0,0,9622,FALSE,"Glarrrrrp, Lavapool on coastm frontloaded wood for desert village, golem dropped 3, found another in ravine heading back, basalt spawn with bastion in 26, big fella convention, nice reflexes on wall lava, pick barely pushed through, 1 pearl trade from double triple stables, opened trade hole to force good gap, somehow didnt cram, suffoacted baby piglin, insane feinberg strays in warped fort, rates didnt comply, 2.3 full diag ch, far 1st ring coords, 2 chunks off, pearled into crystal, pushed for 99 standing 100 coz of fireball, couldnt maintain dragon height and got launched on 2 hearts, regened just enf to pearl clutch on 0.5 heart, cringe dragon faking too much"
4/22/2026 18:36:11,Full Shipwreck,Lava Pool,Bastion,00:26:17,00:05:11,00:10:31,00:19:11,00:21:00,00:22:55,00:23:25,00:23:43,00:25:25,8,0,16,0,0,7.95324E+18,Housing/Treasure,Half Bow,0,3,9621,FALSE,"Estonian language, Flint nation RP, enf iron from ship, forced bt for higher quality, lavapool next to it, no bastion in 32, got something after running 300 blocks, flat open terrain carried for the most part, td hauss, thought to save only 1 fire res for fort but was treasure nearby, built paths for pigs to trade in bottom, combined 2 diamond chestplates for higher durability, nice drip, fort 22 from there, 1.3k radial, subspace blind, 800 blocks to sh, made small tunnel through hill, flew on back 92 1/8, lost sub 25 to no insta perch"
